NCBI_Accession	Directory_Name	Species	Common_Name
GCA_011076525.1	Nettapus_auritus__African_pygmy_goose__HLnetAur1__GCA_011076525.1	Nettapus auritus	African pygmy goose
GCA_024635365.1	Aix_galericulata__mandarin_duck__HLaixGal1__GCA_024635365.1	Aix galericulata	mandarin duck
GCA_051175885.1	Aix_sponsa__Wood_duck__HLaixSpon1__GCA_051175885.1	Aix sponsa	Wood duck
GCA_038381965.1	Amazonetta_brasiliensis__Brazilian_duck__HLamaBras1__GCA_038381965.1	Amazonetta brasiliensis	Brazilian duck
GCF_963932015.1	Anas_acuta__Northern_pintail__HLanaAcu1__GCF_963932015.1	Anas acuta	Northern pintail
GCA_038381715.1	Anas_bahamensis__white-cheeked_pintail__HLanaBaha1__GCA_038381715.1	Anas bahamensis	white-cheeked pintail
GCA_032165215.1	Anas_bernieri__Berniers_teal__HLanaBern1__GCA_032165215.1	Anas bernieri	Berniers teal
GCA_032357685.1	Anas_capensis__Cape_teal__HLanaCape1__GCA_032357685.1	Anas capensis	Cape teal
GCA_036873605.1	Anas_crecca__Common_teal__HLanaCrec1__GCA_036873605.1	Anas crecca	Common teal
GCA_052075425.1	Anas_melleri__Mellers_duck__HLanaMell1__GCA_052075425.1	Anas melleri	Mellers duck
GCF_015476345.1	Anas_platyrhynchos__Mallard__HLanaPla3__GCF_015476345.1	Anas platyrhynchos	Mallard
GCA_002224875.1	Anas_zonorhyncha__Eastern_spot-billed_duck__HLanaZon1__GCA_002224875.1	Anas zonorhyncha	Eastern spot-billed duck
GCA_964188345.1	Anas_platyrhynchos__Mallard__HLanaPlat4A__GCA_964188345.1	Anas platyrhynchos	Mallard
GCA_002743455.1	Anas_platyrhynchos_platyrhynchos__common_mallard__HLanaPla2__GCA_002743455.1	Anas platyrhynchos platyrhynchos	common mallard
GCA_013398475.1	Asarcornis_scutulata__White_winged_duck__HLasaScu1__GCA_013398475.1	Asarcornis scutulata	White winged duck
GCA_964059595.1	Bucephala_clangula__Common_goldeneye__HLbucCla1__GCA_964059595.1	Bucephala clangula	Common goldeneye
GCA_009194515.1	Cairina_moschata_domestica__Muscovy_Duck__HLcaiMos1__GCA_009194515.1	Cairina moschata domestica	Muscovy Duck
GCA_049176255.1	Callonetta_leucophrys__Ringed_teal__HLcalLeuc1__GCA_049176255.1	Callonetta leucophrys	Ringed teal
GCA_963989345.1	Clangula_hyemalis__Long-tailed_duck__HLclaHyem1__GCA_963989345.1	Clangula hyemalis	Long-tailed duck
GCA_011075105.1	Heteronetta_atricapilla__Black_headed_duck__HLhetAtr1__GCA_011075105.1	Heteronetta atricapilla	Black headed duck
GCA_049176295.1	Lophodytes_cucullatus__Hooded_merganser__HLlopCucu1__GCA_049176295.1	Lophodytes cucullatus	Hooded merganser
GCA_053567875.1	Mareca_falcata__Falcated_duck__HLmarFalc1__GCA_053567875.1	Mareca falcata	Falcated duck
GCA_965278785.1	Mareca_strepera__Gadwall__HLmarStre1A__GCA_965278785.1	Mareca strepera	Gadwall
GCA_051254355.1	Mergellus_albellus__Smew__HLmerAlbe1__GCA_051254355.1	Mergellus albellus	Smew
GCA_036873955.1	Mergus_octosetaceus__Brazilian_merganser__HLmerOcto1A__GCA_036873955.1	Mergus octosetaceus	Brazilian merganser
GCA_011077185.1	Oxyura_jamaicensis__ruddy_duck__HLoxyJam1__GCA_011077185.1	Oxyura jamaicensis	ruddy duck
GCA_951411735.1	Somateria_mollissima__Common_eider__HLsomMoll1A__GCA_951411735.1	Somateria mollissima	Common eider
GCA_977066335.1	Spatula_clypeata__Northern_shoveler__HLspaClyp1A__GCA_977066335.1	Spatula clypeata	Northern shoveler
GCA_976913865.1	Anser_albifrons__White-fronted_goose__HLansAlbi1A__GCA_976913865.1	Anser albifrons	White-fronted goose
GCA_964211835.1	Anser_anser__Domestic_goose__HLansAnse1A__GCA_964211835.1	Anser anser	Domestic goose
GCA_002592135.1	Anser_brachyrhynchus__Pink-footed_goose__HLansBra1__GCA_002592135.1	Anser brachyrhynchus	Pink-footed goose
GCA_964034855.1	Anser_brachyrhynchus__Pink-footed_goose__HLansBrac2__GCA_964034855.1	Anser brachyrhynchus	Pink-footed goose
GCA_013030995.1	Anser_cygnoides__Swan_goose__HLansCyg2__GCA_013030995.1	Anser cygnoides	Swan goose
GCF_040182565.1	Anser_cygnoides__Swan_goose__HLansCygn3__GCF_040182565.1	Anser cygnoides	Swan goose
GCA_965277985.1	Anser_erythropus__Lesser_white-fronted_goose__HLansEryt1A__GCA_965277985.1	Anser erythropus	Lesser white-fronted goose
GCA_965250395.1	Anser_fabalis__Taiga_bean_goose__HLansFaba1__GCA_965250395.1	Anser fabalis	Taiga bean goose
GCA_006229135.1	Anser_indicus__Bar-headed_goose__HLansInd1__GCA_006229135.1	Anser indicus	Bar-headed goose
GCA_006130075.1	Branta_canadensis__Canada_goose__HLbraCan1__GCA_006130075.1	Branta canadensis	Canada goose
GCA_965231335.1	Branta_canadensis__Canada_goose__HLbraCana2__GCA_965231335.1	Branta canadensis	Canada goose
GCA_032270845.1	Branta_hutchinsii__Cackling_goose__HLbraHutc1__GCA_032270845.1	Branta hutchinsii	Cackling goose
GCA_965642265.1	Branta_leucopsis__Barnacle_goose__HLbraLeuc1A__GCA_965642265.1	Branta leucopsis	Barnacle goose
GCA_045784505.1	Branta_ruficollis__Red-breasted_goose__HLbraRufi1__GCA_045784505.1	Branta ruficollis	Red-breasted goose
GCA_051419555.1	Branta_sandvicensis__Nene__HLbraSand1__GCA_051419555.1	Branta sandvicensis	Nene
GCA_013377495.1	Cygnus_atratus__black_swan__HLcygAtr1__GCA_013377495.1	Cygnus atratus	black swan
GCF_013377495.2	Cygnus_atratus__Black_swan__HLcygAtr2__GCF_013377495.2	Cygnus atratus	Black swan
GCA_019232035.1	Cygnus_buccinator__trumperter_swan__HLcygBuc1__GCA_019232035.1	Cygnus buccinator	trumperter swan
GCA_965151615.1	Cygnus_columbianus__Tundra_swan__HLcygColu1__GCA_965151615.1	Cygnus columbianus	Tundra swan
GCA_965278775.1	Cygnus_cygnus__Common_whooper__HLcygCygn1A__GCA_965278775.1	Cygnus cygnus	Common whooper
GCA_009769625.1	Cygnus_olor__mute_swan__HLcygOlo1__GCA_009769625.1	Cygnus olor	mute swan
GCA_049176275.1	Aythya_americana__Redhead__HLaytAmer1__GCA_049176275.1	Aythya americana	Redhead
GCA_026413565.1	Aythya_baeri__Baers_pochard__HLaytBaer1__GCA_026413565.1	Aythya baeri	Baers pochard
GCA_964211825.1	Aythya_ferina__Common_pochard__HLaytFeri1A__GCA_964211825.1	Aythya ferina	Common pochard
GCA_009819795.1	Aythya_fuligula__tufted_duck__HLaytFul1__GCA_009819795.1	Aythya fuligula	tufted duck
GCA_965140915.1	Aythya_marila__Greater_scaup__HLaytMari1A__GCA_965140915.1	Aythya marila	Greater scaup
GCA_052075125.1	Aythya_nyroca__Ferruginous_duck__HLaytNyro1__GCA_052075125.1	Aythya nyroca	Ferruginous duck
GCA_051419195.1	Netta_peposaca__Rosy-billed_pochard__HLnetPepo1__GCA_051419195.1	Netta peposaca	Rosy-billed pochard
GCA_964035555.1	Netta_rufina__Red-crested_pochard__HLnetRuf1__GCA_964035555.1	Netta rufina	Red-crested pochard
GCA_049176575.1	Dendrocygna_arborea__Black-billed_whistling-duck__HLdenArbo1__GCA_049176575.1	Dendrocygna arborea	Black-billed whistling-duck
GCA_048604525.1	Dendrocygna_autumnalis__Black-bellied_whistling-duck__HLdenAutu1__GCA_048604525.1	Dendrocygna autumnalis	Black-bellied whistling-duck
GCA_051419595.1	Dendrocygna_bicolor__Fulvous_whistling-duck__HLdenBico1__GCA_051419595.1	Dendrocygna bicolor	Fulvous whistling-duck
GCA_051419395.1	Dendrocygna_viduata__White-faced_whistling-duck__HLdenVidu1__GCA_051419395.1	Dendrocygna viduata	White-faced whistling-duck
GCA_011074415.1	Stictonetta_naevosa__freckled_duck__HLstiNae1__GCA_011074415.1	Stictonetta naevosa	freckled duck
GCA_965278175.1	Alopochen_aegyptiaca__Egyptian_goose__HLaloAegy1A__GCA_965278175.1	Alopochen aegyptiaca	Egyptian goose
GCA_045784645.1	Tadorna_tadorna__Common_shelduck__HLtadTado1__GCA_045784645.1	Tadorna tadorna	Common shelduck
GCA_013399475.1	Chauna_torquata__southern_screamer__HLchaTor1__GCA_013399475.1	Chauna torquata	southern screamer
GCA_013399115.1	Anseranas_semipalmata__magpie_goose__HLansSem1__GCA_013399115.1	Anseranas semipalmata	magpie goose
GCA_013396635.1	Penelope_pileata__White-crested_guan__HLpenPil1__GCA_013396635.1	Penelope pileata	White-crested guan
GCA_014595935.1	Numida_meleagris__helmeted_guineafowl__HLnumMel2__GCA_014595935.1	Numida meleagris	helmeted guineafowl
GCA_002218305.1	Callipepla_squamata__scaled_quail__HLcalSqu1__GCA_002218305.1	Callipepla squamata	scaled quail
GCA_023055725.1	Callipepla_californica_brunnescens__California_quail__HLcalCalBru1__GCA_023055725.1	Callipepla californica brunnescens	California quail
GCA_008692595.1	Colinus_virginianus__northern_bobwhite__HLcolVir2__GCA_008692595.1	Colinus virginianus	northern bobwhite
GCF_038088225.1	Cyrtonyx_montezumae__Montezuma_quail__HLcyrMon1__GCF_038088225.1	Cyrtonyx montezumae	Montezuma quail
GCA_013399175.1	Odontophorus_gujanensis__marbled_wood_quail__HLodoGuj1__GCA_013399175.1	Odontophorus gujanensis	marbled wood quail
GCA_036925125.1	Oreortyx_pictus__Mountain_quail__HLorePict1A__GCA_036925125.1	Oreortyx pictus	Mountain quail
GCF_039878825.1	Excalfactoria_chinensis__Blue-breasted_quail__HLexcChin1B__GCF_039878825.1	Excalfactoria chinensis	Blue-breasted quail
GCA_905368555.1	Meleagris_gallopavo__turkey__HLmelGal6__GCA_905368555.1	Meleagris gallopavo	turkey
GCA_019345075.1	Alectoris_rufa__red-legged_partridge__HLalcRuf1__GCA_019345075.1	Alectoris rufa	red-legged partridge
GCA_035666275.1	Alectoris_chukar__Chukar_partridge__HLaleChuk1__GCA_035666275.1	Alectoris chukar	Chukar partridge
GCA_965278835.1	Alectoris_graeca__Rock_partridge__HLaleGrae1__GCA_965278835.1	Alectoris graeca	Rock partridge
GCA_030625065.1	Alectoris_magna__Przewalskis_partridge__HLaleMagn1__GCA_030625065.1	Alectoris magna	Przewalskis partridge
GCA_002909625.1	Bambusicola_thoracicus__Chinese_bamboo-partridge__HLbamTho1__GCA_002909625.1	Bambusicola thoracicus	Chinese bamboo-partridge
GCA_051820755.1	Coturnix_coturnix__Common_quail__HLcotCotu1__GCA_051820755.1	Coturnix coturnix	Common quail
GCF_001577835.1	Coturnix_japonica__Japanese_quail__cotJap2__GCF_001577835.1	Coturnix japonica	Japanese quail
GCA_035772895.1	Perdix_hodgsoniae__Tibetan_partridge__HLperHodg1__GCA_035772895.1	Perdix hodgsoniae	Tibetan partridge
GCA_036784685.1	Chrysolophus_amherstiae__Lady_Amhersts_pheasant__HLchrAmhe1__GCA_036784685.1	Chrysolophus amherstiae	Lady Amhersts pheasant
GCA_003413605.1	Chrysolophus_pictus__golden_pheasant__HLchrPic1__GCA_003413605.1	Chrysolophus pictus	golden pheasant
GCA_036346035.1	Crossoptilon_crossoptilon__White-eared_pheasant__HLcroCros1__GCA_036346035.1	Crossoptilon crossoptilon	White-eared pheasant
GCA_019593555.1	Crossoptilon_mantchuricum__brown_eared-pheasant__HLcroMan1__GCA_019593555.1	Crossoptilon mantchuricum	brown eared-pheasant
GCF_016699485.2	Gallus_gallus__chicken__HLgalGal7__GCF_016699485.2	Gallus gallus	chicken
GCF_016700215.2	Gallus_gallus__Chicken__HLgalGal8__GCF_016700215.2	Gallus gallus	Chicken
GCF_000002315.5	Gallus_gallus__chicken__galGal6__GCF_000002315.5	Gallus gallus	chicken
GCA_021292215.1	Lophura_nycthemera__Silver_pheasant__HLlopNyc1__GCA_021292215.1	Lophura nycthemera	Silver pheasant
GCA_030408155.1	Lophura_swinhoii__Swinhoes_pheasant__HLlopSwin1__GCA_030408155.1	Lophura swinhoii	Swinhoes pheasant
GCA_005519975.1	Pavo_cristatus__Indian_peafowl__HLpavCri1__GCA_005519975.1	Pavo cristatus	Indian peafowl
GCA_016647715.1	Pavo_muticus__green_peafowl__HLpavMut1__GCA_016647715.1	Pavo muticus	green peafowl
GCA_004143745.1	Phasianus_colchicus__Ring-necked_pheasant__HLphaCol1__GCA_004143745.1	Phasianus colchicus	Ring-necked pheasant
GCA_015227605.1	Phasianus_colchicus__Ring-necked_pheasant__HLphaCol2__GCA_015227605.1	Phasianus colchicus	Ring-necked pheasant
GCA_003435085.1	Syrmaticus_mikado__Mikado_pheasant__HLsyrMik1__GCA_003435085.1	Syrmaticus mikado	Mikado pheasant
GCA_028571105.1	Tragopan_temminckii__Temmincks_tragopan__HLtraTemm1__GCA_028571105.1	Tragopan temminckii	Temmincks tragopan
